round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_loss_flower,train_loss_weighted,algorithm,mu,seed,local_epochs
51,1.32210122671346,0.7607178464606181,0.4699145201487122,0.48026414385002764,1.32210122671346,0.027084720398204337,fedprox,0.01,42,20
52,1.2956857469716552,0.7607178464606181,0.48872938568488916,0.5022517007690878,1.2956857469716552,0.03592782094268678,fedprox,0.01,42,20
53,1.293099228727259,0.7627118644067796,0.4866456770438035,0.49356651345915525,1.293099228727259,0.02641558788539671,fedprox,0.01,42,20
54,1.2732441425323486,0.7647058823529411,0.49873994077741146,0.5045853170791407,1.2732441425323486,0.03217421356621726,fedprox,0.01,42,20
55,1.2581470981314555,0.7617148554336989,0.4710109646877797,0.4695836128931899,1.2581470981314555,0.031647230665021404,fedprox,0.01,42,20
56,1.2674819068799348,0.7647058823529411,0.47911562771047544,0.4951763545413638,1.2674819068799348,0.02898999365560879,fedprox,0.01,42,20
57,1.3016196210030189,0.7617148554336989,0.4658207627762662,0.47415247429851715,1.3016196210030189,0.022620806183194148,fedprox,0.01,42,20
58,1.3262599126054189,0.7647058823529411,0.4840982392504641,0.5006508783193537,1.3262599126054189,0.034539254826589615,fedprox,0.01,42,20
59,1.3032699829916417,0.7647058823529411,0.47776517636002414,0.49071189837524404,1.3032699829916417,0.02400682898535559,fedprox,0.01,42,20
60,1.3016913060176885,0.7647058823529411,0.46520291215841564,0.4704286944545726,1.3016913060176885,0.022819490306366406,fedprox,0.01,42,20
61,1.2748140588714736,0.7647058823529411,0.4738878692040284,0.4885817220690814,1.2748140588714736,0.022612697465183105,fedprox,0.01,42,20
62,1.2937126868624511,0.7637088733798604,0.4887049823817974,0.5012878584749175,1.2937126868624511,0.02652915612620248,fedprox,0.01,42,20
63,1.278584861446354,0.765702891326022,0.485328179004994,0.5010888228796369,1.278584861446354,0.023699032325726392,fedprox,0.01,42,20
64,1.2750114247069164,0.7686939182452642,0.4881384834546427,0.5021490155265477,1.2750114247069164,0.02579883863581818,fedprox,0.01,42,20
65,1.3108733104447188,0.7647058823529411,0.47758488109776165,0.4870632238686227,1.3108733104447188,0.025185476210303724,fedprox,0.01,42,20
66,1.3124235835769478,0.765702891326022,0.4754671273406636,0.48752354990624897,1.3124235835769478,0.017203692732753503,fedprox,0.01,42,20
67,1.2869187715878396,0.7676969092721835,0.4961212479947843,0.5078196569354494,1.2869187715878396,0.02786464615380648,fedprox,0.01,42,20
68,1.2746176276939103,0.7686939182452642,0.4934877420825899,0.49890923188421094,1.2746176276939103,0.018851050413604728,fedprox,0.01,42,20
69,1.3155421273539574,0.7637088733798604,0.486556783512287,0.4935145593977775,1.3155421273539574,0.021508639188286927,fedprox,0.01,42,20
70,1.3264813654919565,0.769690927218345,0.48696379047667104,0.495549128318627,1.3264813654919565,0.011848212808864774,fedprox,0.01,42,20
71,1.3025099797952449,0.7627118644067796,0.47782362477912826,0.4846218034651012,1.3025099797952449,0.0181069309584602,fedprox,0.01,42,20
72,1.310063972489784,0.7666999002991027,0.4979896498631861,0.5127511359605489,1.310063972489784,0.015015860771833823,fedprox,0.01,42,20
73,1.3218836563296712,0.765702891326022,0.4991199993541914,0.513616342359425,1.3218836563296712,0.018506634817303493,fedprox,0.01,42,20
74,1.3300219650639376,0.765702891326022,0.4880059915188721,0.49845553131957754,1.3300219650639376,0.01464484565661682,fedprox,0.01,42,20
75,1.340160866202053,0.7627118644067796,0.4724570226912147,0.4819827151754293,1.340160866202053,0.015476859050468018,fedprox,0.01,42,20
76,1.3460782956506534,0.7607178464606181,0.4801146287094765,0.49214784857967436,1.3460782956506534,0.01653669532140391,fedprox,0.01,42,20
77,1.3375573127956715,0.7627118644067796,0.49364328732010226,0.5032726804944635,1.3375573127956715,0.009843701270588536,fedprox,0.01,42,20
78,1.3759745091407867,0.7617148554336989,0.4827247862376668,0.5049903787428949,1.3759745091407867,0.01305934891323296,fedprox,0.01,42,20
79,1.3397371051675182,0.7666999002991027,0.4990559443721036,0.5197454564594456,1.3397371051675182,0.012528937939679725,fedprox,0.01,42,20
