seed,round,a_eff,mean_tau,global_update_norm,straggler_share,dominating_cid,max_contribution_share,max_amp,server_lr,source
161803,53,4015.271780395781,410.40687883545024,,0.28296587716227534,3,0.32848562867217457,28.915359524771006,,reconstructed
161803,54,3883.973262788652,397.36163836163837,,0.5052567204194128,4,0.5052567204194128,14.810033185770639,,reconstructed
161803,55,5098.6798915370355,518.8679891537033,,0.18414299006801677,4,0.18414299006801677,1.666235258672233,,reconstructed
161803,56,4375.612959471056,446.5612958470101,,0.2625243529922225,0,0.2625243529922225,2.9969951627862956,,reconstructed
161803,57,4855.25189096618,494.5251890966176,,0.2043859040120454,2,0.2043859040120454,1.791605863825149,,reconstructed
161803,58,5418.562865705723,550.8562865705723,,0.19630932622225927,5,0.19630932622225927,1.4411071451345003,,reconstructed
161803,59,4978.925740362185,506.8916797488226,,0.13776718168761637,0,0.32202683687086764,8.733640491351736,,reconstructed
161803,60,3728.11905007387,381.81190238333096,,0.177006103921735,3,0.228688627522092,3.2418421147019685,,reconstructed
161803,61,4361.825823874927,445.1723990295419,,0.20296604436488616,1,0.26324391096703786,12.431359367738809,,reconstructed
161803,62,4861.201875877026,495.1201655487369,,0.39706272726071484,3,0.39706272726071484,5.063744508321099,,reconstructed
161803,63,5408.774896014388,549.8774083059798,,0.2432144728291696,6,0.2432144728291696,6.846477147349781,,reconstructed
161803,64,4933.774796632034,502.37747966319387,,0.26025130598220886,2,0.26025130598220886,2.090582540945286,,reconstructed
161803,65,4304.410754246427,439.4392750107036,,0.3289658317779213,1,0.3289658317779213,8.119522792657648,,reconstructed
161803,66,5392.351933780508,548.2351933780506,,0.2619498527855053,2,0.2619498527855053,1.9897977615426123,,reconstructed
161803,67,5428.88397317319,551.8883973169687,,0.313894345108828,5,0.313894345108828,2.7009373000564127,,reconstructed
161803,68,4494.401991917331,458.3550734979306,,0.19371198466087858,0,0.2116006472075121,32.3657417362485,,reconstructed
161803,69,4975.318659147978,506.5310403881832,,0.12852390913724798,5,0.19239311683934748,8.727313232784168,,reconstructed
161803,70,4257.746539253112,434.774653917511,,0.07987315462025811,3,0.23053256600840766,2.5495488246848015,,reconstructed
161803,71,4097.791279758688,418.696731839589,,0.25296692933055276,2,0.4305374083536264,18.340078405790134,,reconstructed
161803,72,4441.291565715435,453.129156557728,,0.183163407383995,4,0.1869494088802406,2.675476845391002,,reconstructed
161803,73,5115.2233480804925,520.5223348080491,,0.21757797839209123,2,0.21757797839209123,1.671641617019768,,reconstructed
161803,74,4410.492364785045,450.0492364778079,,0.27724404679617254,4,0.27724404679617254,2.1942748083265986,,reconstructed
161803,75,5289.871557021944,537.9871557014413,,0.1313710419649048,1,0.1787364145224058,2.798873839578063,,reconstructed
161803,76,5053.074068788355,514.3074068788354,,0.2006197056677075,4,0.2006197056677075,1.481839902870485,,reconstructed
161803,77,4279.092341972431,436.9092336235193,,0.2951147074697851,4,0.2951147074697851,3.2664826156902755,,reconstructed
161803,78,5490.009990009991,558.0009990009991,,0.14381869065005295,0,0.18514623738235853,1.7941209117679702,,reconstructed
161803,79,3856.4417300024506,394.60810617953473,,0.41605510583030175,3,0.41605510583030175,14.705052310097457,,reconstructed
161803,80,4714.928617821288,480.4927929213644,,0.3394798097757882,0,0.3394798097757882,5.612976862126756,,reconstructed
161803,81,4768.451548589767,485.8451548451548,,0.3898893663034717,2,0.3898893663034717,2.872561172318723,,reconstructed
161803,82,4053.044125131887,414.3044098758384,,0.22539556463486748,5,0.3008159329394511,3.52438561138159,,reconstructed
161803,83,4592.036581573091,468.20194091622665,,0.15485030691762755,5,0.397558111838395,8.054989915089145,,reconstructed
161803,84,4257.188525898174,434.7188525759954,,0.321969260565201,2,0.321969260565201,2.5645713997770443,,reconstructed
161803,85,4781.7325531993665,487.17325531611243,,0.24792059000323927,0,0.24792059000323927,2.701543814943242,,reconstructed
161803,86,4743.749160474896,483.3749108034822,,0.22759474687875036,0,0.22759474687875036,4.12499858600409,,reconstructed
161803,87,5120.919081918912,521.0919080919081,,0.17741678426953003,3,0.19408020505272366,3.507478805754858,,reconstructed
