round,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,loss,train_loss_weighted,train_loss_unweighted
54,0.6859421734795613,0.2728130088785827,0.24399950200215298,0.0,0.0,0.0,0.0,0.0,0.0,0.4253731343283582,0.5181818181818182,0.0,0.0,0.4316546762589928,0.5405405405405406,0.8509687034277198,0.8509687034277198,0.0,0.0,1.5533233488782692,0.14508446221552362,0.9175006137306262
55,0.7098703888334995,0.2800591521902997,0.25503730815076675,0.0,0.0,0.0,0.0,0.0,0.0,0.45161290322580644,0.509090909090909,0.0,0.0,0.47547169811320755,0.5675675675675675,0.8581765557163531,0.8837555886736215,0.0,0.0,1.9758347232462996,0.09867294741876134,1.0186605260739934
56,0.6869391824526421,0.2641337764288584,0.25488395708858486,0.0,0.0,0.0,0.0,0.09009009009009009,0.09615384615384616,0.423728813559322,0.45454545454545453,0.0,0.0,0.415929203539823,0.42342342342342343,0.8544395924308588,0.8748137108792846,0.0,0.0,1.5711262699138606,0.12364165363088099,0.9723412632714968
57,0.7258225324027916,0.27489618637159624,0.2578815739405145,0.0,0.0,0.0,0.0,0.0,0.0,0.46774193548387094,0.5272727272727272,0.0,0.0,0.4690265486725664,0.4774774774774775,0.868402533427164,0.9195230998509687,0.0,0.0,1.9679922917309929,0.043626120356544874,0.6591622406857567
58,0.7238285144566301,0.2874648759894662,0.2615684456524452,0.0,0.0,0.0,0.0,0.0,0.0,0.48375451263537905,0.6090909090909091,0.0,0.0,0.4745762711864407,0.5045045045045045,0.8726483357452967,0.8986587183308494,0.0,0.0,1.812026049536936,0.07089748543090202,1.244358683659258
59,0.6121635094715853,0.266306371224404,0.23531577776863893,0.0,0.0,0.0,0.0,0.034782608695652174,0.038461538461538464,0.42342342342342343,0.42727272727272725,0.0,0.0,0.3925729442970822,0.6666666666666666,0.7964314679643146,0.7317436661698957,0.0,0.0,2.138729834485268,0.13485449449810136,0.8627013181280605
60,0.7178464606181456,0.2721773721773722,0.2534266184525039,0.0,0.0,0.0,0.0,0.0,0.0,0.4883720930232558,0.5727272727272728,0.0,0.0,0.42342342342342343,0.42342342342342343,0.8621908127208481,0.9090909090909091,0.0,0.0,1.7973566069560178,0.07572516301232633,0.6241358424261234
61,0.7278165503489531,0.2861565845172403,0.2615541517219331,0.0,0.0,0.0,0.0,0.0,0.0,0.47653429602888087,0.6,0.0,0.0,0.47619047619047616,0.4954954954954955,0.8781542898341744,0.9076005961251863,0.0,0.0,1.8501012494057745,0.04965646924750212,0.8503888374784523
62,0.7178464606181456,0.28510166542953425,0.2584033024124271,0.0,0.0,0.0,0.0,0.0,0.0,0.4664310954063604,0.6,0.0,0.0,0.47257383966244726,0.5045045045045045,0.8698181818181818,0.8912071535022354,0.0,0.0,1.4405389413282141,0.12124455495594083,1.0707765038973818
63,0.7318045862412762,0.28052849528259366,0.2620036411921945,0.0,0.0,0.0,0.0,0.0,0.0,0.49606299212598426,0.5727272727272728,0.0,0.0,0.4642857142857143,0.46846846846846846,0.8736767819336627,0.9225037257824144,0.0,0.0,1.867286360156857,0.01819351097444597,0.34502492554333714
64,0.6660019940179461,0.2907814825847613,0.2721687420104795,0.0,0.0,0.0,0.0,0.12345679012345678,0.19230769230769232,0.4852941176470588,0.6,0.0,0.0,0.4549763033175355,0.43243243243243246,0.8414539829853055,0.8107302533532041,0.0,0.0,1.5720547802545732,0.1302715063282801,0.8578231463940742
65,0.7288135593220338,0.28311208803012083,0.2623892280642853,0.0,0.0,0.0,0.0,0.0,0.0,0.4864864864864865,0.5727272727272728,0.0,0.0,0.4782608695652174,0.4954954954954955,0.871977240398293,0.9135618479880775,0.0,0.0,1.6911441375346388,0.06385384562283176,0.5197429369362594
66,0.6779661016949152,0.2935420435420436,0.2681439158847797,0.0,0.0,0.0,0.0,0.09523809523809523,0.09615384615384616,0.4642857142857143,0.5909090909090909,0.0,0.0,0.4728682170542636,0.5495495495495496,0.8446153846153847,0.8181818181818182,0.0,0.0,1.641284832569324,0.0826601599462796,0.7068750406419223
67,0.7457627118644068,0.26960432862072203,0.2608996548712625,0.0,0.0,0.0,0.0,0.0,0.0,0.5596707818930041,0.6181818181818182,0.0,0.0,0.3930635838150289,0.3063063063063063,0.8735632183908046,0.96274217585693,0.0,0.0,1.4070360586864286,0.06453267062980526,0.4795974490398354
68,0.7318045862412762,0.2686900014768867,0.25714692410539536,0.0,0.0,0.0,0.0,0.0,0.0,0.47843137254901963,0.5545454545454546,0.0,0.0,0.45263157894736844,0.38738738738738737,0.8689655172413793,0.9388971684053651,0.0,0.0,1.7511035518893454,0.04043048640085979,0.41013352741624837
69,0.7128614157527418,0.29047005276513477,0.2592472264557087,0.0,0.0,0.0,0.0,0.0,0.0,0.48507462686567165,0.5909090909090909,0.0,0.0,0.4632352941176471,0.5675675675675675,0.8664206642066421,0.8748137108792846,0.0,0.0,1.848035101282038,0.03736555457624141,0.45505228116586344
70,0.06580259222333001,0.2692307692307692,0.0584530789858697,0.0,0.0,0.1476510067114094,0.3333333333333333,0.1851106639839034,0.8846153846153846,0.0,0.0,0.03773584905660377,0.16666666666666666,0.0,0.0,0.0,0.0,0.03867403314917127,0.5,20.8502197569888,0.3507382577001235,0.766609679661245
71,0.7397806580259222,0.26710071792039003,0.25997233552519144,0.0,0.0,0.0,0.0,0.0,0.0,0.5069124423963134,0.5,0.0,0.0,0.44019138755980863,0.4144144144144144,0.8727025187202179,0.9552906110283159,0.0,0.0,1.5641129932042253,0.10234665420198476,0.35907089870747083
72,0.7308075772681955,0.2824520922881578,0.2627487588868506,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5636363636363636,0.0,0.0,0.4661016949152542,0.4954954954954955,0.8731396172927002,0.9180327868852459,0.0,0.0,1.4137447657637439,0.19367728174157414,1.6352347937526186
73,0.7387836490528414,0.29279490263096825,0.2701910984566231,0.0,0.0,0.0,0.0,0.0,0.0,0.5076923076923077,0.6,0.0,0.0,0.5042735042735043,0.5315315315315315,0.8793718772305497,0.9180327868852459,0.0,0.0,1.6269916367316888,0.0704097199178878,0.8009795114857046
74,0.7258225324027916,0.2803134835921721,0.2594395131340944,0.0,0.0,0.0,0.0,0.0,0.0,0.47876447876447875,0.5636363636363636,0.0,0.0,0.46551724137931033,0.4864864864864865,0.8717948717948718,0.9120715350223547,0.0,0.0,1.7719071478335,0.05748799471372686,0.9916037070175465
75,0.04885343968095713,0.25234289520003805,0.045341498736179466,0.0,0.0,0.09523809523809523,0.9696969696969697,0.16842105263157894,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05373134328358209,0.6428571428571429,11.474775244921059,1.1225752484948373,1.73750567052979
76,0.7138584247258225,0.25286717417864957,0.24546259881447613,0.0,0.0,0.0,0.0,0.0,0.0,0.45544554455445546,0.41818181818181815,0.0,0.0,0.41228070175438597,0.42342342342342343,0.8505119453924914,0.9284649776453056,0.0,0.0,1.5858792597845806,0.07891096231175317,0.3670924685278754
77,0.7058823529411765,0.2814025436976257,0.2534809205822217,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.46037735849056605,0.5495495495495496,0.8594436310395315,0.8748137108792846,0.0,0.0,1.5952244111571687,0.17258829686097868,1.528466076195826
78,0.05982053838484546,0.22607154750011893,0.032019165634543864,0.0,0.0,0.029850746268656716,0.030303030303030304,0.14804063860667635,0.9807692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046242774566473986,0.5714285714285714,8.145731214749611,0.779919611464171,1.4891083320140996
79,0.732801595214357,0.28187399662809504,0.26128294843733135,0.0,0.0,0.0,0.0,0.0,0.0,0.5418326693227091,0.6181818181818182,0.0,0.0,0.4085106382978723,0.43243243243243246,0.8786373314407381,0.9225037257824144,0.0,0.0,1.2996625134856965,0.1713050862038991,0.45655828795427283
80,0.7238285144566301,0.29820587033701784,0.26631248871980234,0.0,0.0,0.0,0.0,0.0,0.0,0.5037593984962406,0.6090909090909091,0.0,0.0,0.4870848708487085,0.5945945945945946,0.8733431516936672,0.8837555886736215,0.0,0.0,1.5958769107506734,0.06558794272957638,0.5922919872792425
81,0.7268195413758723,0.28600218272349426,0.26159427075967073,0.0,0.0,0.0,0.0,0.0,0.0,0.48464163822525597,0.6454545454545455,0.0,0.0,0.4716981132075472,0.45045045045045046,0.874820143884892,0.9061102831594635,0.0,0.0,1.9994775084175118,0.026899951691003725,0.5004050092960587
82,0.7228315054835494,0.27096498244039224,0.25620608266672973,0.0,0.0,0.0,0.0,0.0,0.0,0.47706422018348627,0.4727272727272727,0.0,0.0,0.4534412955465587,0.5045045045045045,0.862937062937063,0.9195230998509687,0.0,0.0,1.573997856731548,0.18960433765669715,1.584180668492904
83,0.7198404785643071,0.2855625691691266,0.2596328012505939,0.0,0.0,0.0,0.0,0.0,0.0,0.4842105263157895,0.6272727272727273,0.0,0.0,0.4649122807017544,0.4774774774774775,0.8683068017366136,0.8941877794336811,0.0,0.0,1.8709274049057205,0.06066170012445426,0.8596936181791003
84,0.7238285144566301,0.28745317597776615,0.26203604799880725,0.0,0.0,0.0,0.0,0.0,0.0,0.5038167938931297,0.6,0.0,0.0,0.4596774193548387,0.5135135135135135,0.8707581227436824,0.8986587183308494,0.0,0.0,1.7954942519263042,0.0688231744803414,0.7793466322615198
