round,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,balanced_accuracy,worst_class_f1
31,0.0,0.0,0.0,0.0,0.5287356321839081,0.6272727272727273,0.0,0.0,0.47058823529411764,0.43243243243243246,0.8727272727272727,0.9299552906110283,0.0,0.0,0.28423720718802686,0.0
32,0.0,0.0,0.0,0.0,0.45933014354066987,0.43636363636363634,0.0,0.0,0.4,0.34234234234234234,0.856951871657754,0.9552906110283159,0.0,0.0,0.24771379853347067,0.0
33,0.0,0.0,0.0,0.0,0.46153846153846156,0.43636363636363634,0.0,0.0,0.5065502183406113,0.5225225225225225,0.8614540466392319,0.9359165424739195,0.0,0.0,0.2706861001942969,0.0
34,0.0,0.0,0.0,0.0,0.5,0.4727272727272727,0.0,0.0,0.4852941176470588,0.5945945945945946,0.8678445229681979,0.9150521609538003,0.0,0.0,0.2831962897536668,0.0
35,0.0,0.0,0.0,0.0,0.5,0.6727272727272727,0.0,0.0,0.39593908629441626,0.35135135135135137,0.8601997146932953,0.8986587183308494,0.0,0.0,0.27467676320135337,0.0
36,0.0,0.0,0.0,0.0,0.49765258215962443,0.4818181818181818,0.0,0.0,0.4434389140271493,0.44144144144144143,0.863791923340178,0.940387481371088,0.0,0.0,0.26623530066153017,0.0
37,0.0,0.0,0.09876543209876543,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
38,0.0,0.0,0.0,0.0,0.5,0.509090909090909,0.0,0.0,0.5267175572519084,0.6216216216216216,0.8701206529453513,0.9135618479880775,0.0,0.0,0.29203919695722974,0.0
39,0.0,0.0,0.0,0.0,0.4927536231884058,0.6181818181818182,0.0,0.0,0.42105263157894735,0.36036036036036034,0.867739678096571,0.9239940387481371,0.0,0.0,0.2717908881843308,0.0
40,0.0,0.0,0.0,0.0,0.5098039215686274,0.5909090909090909,0.0,0.0,0.4942084942084942,0.5765765765765766,0.8703837798696596,0.8956780923994039,0.0,0.0,0.29473767998358164,0.0
41,0.0,0.0,0.0,0.0,0.5185185185185185,0.5727272727272728,0.0,0.0,0.4622222222222222,0.46846846846846846,0.877365101611773,0.9329359165424739,0.0,0.0,0.2820188082483165,0.0
42,0.0,0.0,0.0,0.0,0.5301204819277109,0.6,0.0,0.0,0.43,0.38738738738738737,0.8713692946058091,0.9388971684053651,0.0,0.0,0.2751835079703932,0.0
43,0.0,0.0,0.0,0.0,0.4978902953586498,0.5363636363636364,0.0,0.0,0.4166666666666667,0.40540540540540543,0.8668515950069348,0.9314456035767511,0.0,0.0,0.2676020921922561,0.0
44,0.0,0.0,0.0,0.0,0.4956521739130435,0.5181818181818182,0.0,0.0,0.4533333333333333,0.4594594594594595,0.8680555555555556,0.9314456035767511,0.0,0.0,0.2727266973168613,0.0
45,0.0,0.0,0.10097087378640776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.14285714285714285,0.16326530612244897,0.0
46,0.0,0.0,0.1015625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.07142857142857142,0.15306122448979592,0.0
47,0.07885304659498207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.7857142857142857,0.25510204081632654,0.0
48,0.0,0.0,0.10009624639076034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.35714285714285715,0.19387755102040818,0.0
49,0.0,0.0,0.0,0.0,0.358974358974359,0.2545454545454545,0.0,0.0,0.35428571428571426,0.27927927927927926,0.8427109974424553,0.9821162444113264,0.0,0.0,0.21656299689086575,0.0
50,0.0,0.0,0.0,0.0,0.5070422535211268,0.6545454545454545,0.0,0.0,0.4790874524714829,0.5675675675675675,0.8664688427299704,0.8703427719821163,0.0,0.0,0.29892225629930547,0.0
51,0.0,0.0,0.0,0.0,0.5294117647058824,0.6545454545454545,0.0,0.0,0.45132743362831856,0.4594594594594595,0.8675733715103794,0.9031296572280179,0.0,0.0,0.2881620816047045,0.0
52,0.0,0.0,0.0,0.0,0.5409836065573771,0.6,0.0,0.0,0.4810126582278481,0.5135135135135135,0.8755304101838756,0.9225037257824144,0.0,0.0,0.29085960561370394,0.0
53,0.0,0.0,0.0,0.0,0.45430809399477806,0.7909090909090909,0.0,0.0,0.37815126050420167,0.40540540540540543,0.8304552590266876,0.7883755588673621,0.0,0.0,0.28352715074026547,0.0
54,0.0,0.0,0.0,0.0,0.5296442687747036,0.6090909090909091,0.0,0.0,0.4473684210526316,0.4594594594594595,0.8769448373408769,0.9239940387481371,0.0,0.0,0.2846492010426437,0.0
55,0.0,0.0,0.0625,0.038461538461538464,0.498220640569395,0.6363636363636364,0.0,0.0,0.44357976653696496,0.5135135135135135,0.8475836431226765,0.849478390461997,0.0,0.0,0.29111672554295503,0.0
56,0.0,0.0,0.0,0.0,0.5254901960784314,0.6090909090909091,0.0,0.0,0.48068669527896996,0.5045045045045045,0.8727789623312011,0.9150521609538003,0.0,0.0,0.2898067963641734,0.0
57,0.0,0.0,0.0,0.0,0.5101214574898786,0.5727272727272728,0.0,0.0,0.4380952380952381,0.4144144144144144,0.866481223922114,0.9284649776453056,0.0,0.0,0.2736580949695704,0.0
58,0.0,0.0,0.0,0.0,0.504,0.5727272727272728,0.0,0.0,0.4691358024691358,0.5135135135135135,0.8716119828815977,0.910581222056632,0.0,0.0,0.2852602868996312,0.0
59,0.0,0.0,0.037037037037037035,0.019230769230769232,0.5073529411764706,0.6272727272727273,0.0,0.0,0.4421052631578947,0.5675675675675675,0.8458083832335329,0.842026825633383,0.0,0.0,0.2937282699577782,0.0
60,0.0,0.0,0.0,0.0,0.5185185185185185,0.5727272727272728,0.0,0.0,0.46875,0.5405405405405406,0.8667621776504298,0.9016393442622951,0.0,0.0,0.28784387964715835,0.0
61,0.0,0.0,0.125,0.09615384615384616,0.4928571428571429,0.6272727272727273,0.0,0.0,0.44528301886792454,0.5315315315315315,0.8502269288956127,0.8375558867362146,0.0,0.0,0.29893057024204567,0.0
62,0.0,0.0,0.0,0.0,0.5358490566037736,0.6454545454545455,0.0,0.0,0.42452830188679247,0.40540540540540543,0.8744710860366713,0.9239940387481371,0.0,0.0,0.2821219985154412,0.0
63,0.0,0.0,0.0,0.0,0.5036496350364964,0.6272727272727273,0.0,0.0,0.49572649572649574,0.5225225225225225,0.8723864455659697,0.9016393442622951,0.0,0.0,0.29306208486536356,0.0
64,0.0,0.0,0.0,0.0,0.49206349206349204,0.5636363636363636,0.0,0.0,0.48582995951417,0.5405405405405406,0.8653295128939829,0.9001490312965723,0.0,0.0,0.28633227649621096,0.0
65,0.058823529411764705,0.030303030303030304,0.0,0.0,0.508833922261484,0.6545454545454545,0.0,0.0,0.44642857142857145,0.45045045045045046,0.8651766402307137,0.8941877794336811,0.0,0.0,0.2899266735332309,0.0
66,0.0,0.0,0.0,0.0,0.5111111111111111,0.6272727272727273,0.0,0.0,0.47058823529411764,0.46846846846846846,0.8703703703703703,0.910581222056632,0.0,0.0,0.28661748825683253,0.0
67,0.05714285714285714,0.030303030303030304,0.13783783783783785,0.9807692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116207951070336,0.7142857142857143,0.24647971076542508,0.0
68,0.0,0.0,0.0,0.0,0.5067873303167421,0.509090909090909,0.0,0.0,0.47572815533980584,0.44144144144144143,0.8664850136239782,0.9478390461997019,0.0,0.0,0.2711959138188646,0.0
69,0.0,0.0,0.0985781990521327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
70,0.0,0.0,0.0,0.0,0.5150214592274678,0.5454545454545454,0.0,0.0,0.41706161137440756,0.3963963963963964,0.8683666436940042,0.9388971684053651,0.0,0.0,0.2686783014651867,0.0
71,0.0,0.0,0.0,0.0,0.5138339920948617,0.5909090909090909,0.0,0.0,0.43,0.38738738738738737,0.8682385575589459,0.9329359165424739,0.0,0.0,0.27303319926270747,0.0
72,0.0,0.0,0.0,0.0,0.4981132075471698,0.6,0.0,0.0,0.4020100502512563,0.36036036036036034,0.8665269042627534,0.9239940387481371,0.0,0.0,0.2691934855869282,0.0
73,0.0,0.0,0.0,0.0,0.5074626865671642,0.6181818181818182,0.0,0.0,0.47572815533980584,0.44144144144144143,0.8768472906403941,0.9284649776453056,0.0,0.0,0.28401260532408074,0.0
74,0.0,0.0,0.0,0.0,0.5134099616858238,0.6090909090909091,0.0,0.0,0.3829787234042553,0.32432432432432434,0.8650519031141869,0.9314456035767511,0.0,0.0,0.26640869099885495,0.0
75,0.0,0.0,0.03773584905660377,0.019230769230769232,0.5058365758754864,0.5909090909090909,0.0,0.0,0.45161290322580644,0.44144144144144143,0.8676056338028169,0.9180327868852459,0.0,0.0,0.28137344120950675,0.0
76,0.0,0.0,0.21487603305785125,0.25,0.5,0.6272727272727273,0.0,0.0,0.3617021276595745,0.3063063063063063,0.869309838472834,0.8822652757078987,0.0,0.0,0.2951206156124189,0.0
77,0.0,0.0,0.18181818181818182,0.1346153846153846,0.5096525096525096,0.6,0.0,0.0,0.44144144144144143,0.44144144144144143,0.8754499640028798,0.9061102831594635,0.0,0.0,0.29745244417375566,0.0
78,0.0,0.0,0.0,0.0,0.509090909090909,0.6363636363636364,0.0,0.0,0.4585365853658537,0.42342342342342343,0.8777385159010601,0.9254843517138599,0.0,0.0,0.2836102016429885,0.0
