algorithm,round,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_count,val_loss_mean,val_loss_std,val_loss_count,val_balanced_accuracy_mean,val_balanced_accuracy_std,val_balanced_accuracy_count,val_accuracy_mean,val_accuracy_std,val_accuracy_count,train_loss_mean,train_loss_std,train_loss_count,val_f1_class_0_mean,val_f1_class_0_std,val_f1_class_0_count,val_f1_class_1_mean,val_f1_class_1_std,val_f1_class_1_count,val_f1_class_2_mean,val_f1_class_2_std,val_f1_class_2_count,val_f1_class_3_mean,val_f1_class_3_std,val_f1_class_3_count,val_f1_class_4_mean,val_f1_class_4_std,val_f1_class_4_count,val_f1_class_5_mean,val_f1_class_5_std,val_f1_class_5_count,val_f1_class_6_mean,val_f1_class_6_std,val_f1_class_6_count
fedavg,25,0.38963961267239505,0.0493577279438415,10,1.4240076389769138,0.11459806734363397,10,0.3919524822920607,0.03577288870278717,10,0.730209371884347,0.01232963284442198,10,0.019291657920977957,0.0043009754331680035,10,0.3429587216189236,0.07051323022815202,10,0.45465061497081666,0.06630931098941226,10,0.19835565939484084,0.1617535289634186,10,0.1440010475735009,0.15371574269106192,10,0.19921981628113805,0.09668560185008089,10,0.8728704948234416,0.009875950232393297,10,0.5154209340441037,0.08563152224389818,10
fedavg,26,0.3957757778674595,0.04184257930190448,10,1.4318455969704944,0.05338048658633333,10,0.404284216110914,0.023644240834805527,10,0.727716849451645,0.009058222651066124,10,0.01760163848780788,0.002916479932319158,10,0.2661746514053032,0.15443483509818437,10,0.39177794536607424,0.10341252277709909,10,0.27778761350207903,0.12206420186224394,10,0.26371898493186674,0.10677234029304347,10,0.14659719745054414,0.1112285434947317,10,0.8693110485088076,0.006250830437621327,10,0.5550630039075417,0.0811685969652687,10
fedavg,27,0.38398842532769,0.05160338180491155,10,1.4767594075155401,0.09845064251512282,10,0.3912325393238742,0.04020024101957954,10,0.7266201395812562,0.009721050521308417,10,0.01732116364081434,0.00353592416721805,10,0.31163058348147826,0.10530650470568109,10,0.46976849347618854,0.048983271937733164,10,0.12703618294381644,0.1605732714080685,10,0.1582493894993895,0.17280491981166735,10,0.22343694112803153,0.061035270263936015,10,0.8708220690265535,0.006634180279510105,10,0.5269753177383723,0.09362010309757561,10
fedavg,28,0.4031844736408165,0.033320897182317684,10,1.474881532315837,0.08670919638591895,10,0.4049459175337395,0.03493645876794619,10,0.7293120638085743,0.006943364046452738,10,0.015103031077874252,0.004052058738473732,10,0.26137784335169856,0.15361562495683753,10,0.4260547592772664,0.0719824501369968,10,0.28499304214460464,0.14705377237085035,10,0.3075218888799718,0.11246750570367892,10,0.13940089628640967,0.10504006074541855,10,0.867746080974347,0.005543454009840848,10,0.5351968045714176,0.10456481142468509,10
fedavg,29,0.40638612143863106,0.05362774324211524,10,1.4411542196573313,0.06161801636558743,10,0.4095761183349005,0.0431261323946987,10,0.7335992023928215,0.0129721897974348,10,0.01600666430668983,0.0022663363314244763,10,0.3189599803207109,0.13322177995083834,10,0.4799968254081689,0.04635487165305954,10,0.2225245183567885,0.19669776614385817,10,0.17599982275788725,0.1798250235659289,10,0.1916046047228716,0.09725711730619527,10,0.8737332479749785,0.004404813440621886,10,0.5818838505290118,0.07835518415724668,10
fedavg,30,0.3922946225017602,0.05468297531768217,10,1.4519413521080644,0.08901664070285929,10,0.398539404979686,0.038110658924762376,10,0.7287138584247258,0.01465637101906219,10,0.017210715191571198,0.0032613952741797504,10,0.28638105813749215,0.15172888654564343,10,0.3862221404867419,0.09751343677545979,10,0.27351573768418747,0.1715027573279816,10,0.20356497485653496,0.16465392267507414,10,0.1507625751625366,0.10666917579393514,10,0.871948370311834,0.0065702863273813476,10,0.5736675008729946,0.09898408871187173,10
fedavg,31,0.4086651872659105,0.05473304578389406,10,1.436119535853594,0.0772497639861843,10,0.41409047784926,0.04645932764468132,10,0.7344965104685942,0.012880337275947125,10,0.01418615692764304,0.002978370459431841,10,0.3666179141035707,0.09352988163380857,10,0.44780970575519763,0.056060096471075196,10,0.2439666446716163,0.20135437881790536,10,0.17728937728937727,0.18807597581357907,10,0.1918141413960131,0.11040754676264984,10,0.8734434863548055,0.003569100969048828,10,0.5597150412907929,0.08262792828543553,10
fedavg,32,0.39033205496425066,0.046255587619480856,10,1.4736569555961005,0.0835656212972836,10,0.40684207757978247,0.04067478284762575,10,0.7294117647058823,0.011389006309393861,10,0.01525784479923947,0.004776744804427866,10,0.28434348707712015,0.10925861791200209,10,0.429845615863192,0.0768294263900855,10,0.27152260967655456,0.17995934131364277,10,0.1958085052202699,0.17743450745873243,10,0.1325562549969827,0.10968337964857586,10,0.871908821496992,0.007302947389638133,10,0.5463390904186431,0.11277412264892386,10
fedavg,33,0.38761676389849625,0.04226381757289111,10,1.4761133699925804,0.07719983856186902,10,0.40334428183374316,0.025085597930537863,10,0.7285144566301096,0.008127644761666197,10,0.01288542952011985,0.0014886906045270291,10,0.3315361817007887,0.12636248793044988,10,0.43041138703326975,0.12536950721455445,10,0.17252931913733036,0.20066281323629362,10,0.13558048155863447,0.1525645520827716,10,0.19993271260546147,0.12043698881151789,10,0.8713971378807008,0.008086159876467722,10,0.5719301273732882,0.08470794125743161,10
fedavg,34,0.3875791765419411,0.05309202360935973,10,1.4792584401482005,0.08527716462653252,10,0.40912958278297856,0.040918460601892234,10,0.728913260219342,0.010946434100090446,10,0.013374281483117229,0.0038801079886678566,10,0.22280106897075855,0.16934544886311956,10,0.37877144810398444,0.1365527455519207,10,0.3086092193909379,0.18170640780487105,10,0.22049799406942264,0.14132881889388133,10,0.09408834044948977,0.09890379642037471,10,0.8741963490407899,0.005880068804490781,10,0.6140898157682045,0.11190196391091178,10
